Constituency_No,Constituency_Name,District,Winner_Candidate_2021,Winner_Party_2021,Winner_Votes_2021,Winner_Pct_2021,Margin_2021,Winner_Candidate_2026,Winner_Party_2026,Winner_Votes_2026,Winner_Pct_2026,Margin_2026,Seat_Status,Party_Change,Vote_Swing,Margin_Change,Minority_Pct,Women_Voter_Pct,Unemployment_Pct,SIR_Risk,Region
120,Deganga,North 24 Parganas,Rahima Mondal,AITC,100105,46.7,32537,Anisur Rahaman Bidesh,AITC,101114,43.31,17818,Retained,AITC → AITC,-3.39,-14719,25.82,92.5,4.75,High,Kolkata Metro
121,Haroa,North 24 Parganas,Islam Sk Nurul (Haji),AITC,130398,57.34,80978,Abdul Matin Muhammad,AITC,117591,49.52,49341,Retained,AITC → AITC,-7.82,-31637,25.82,92.5,4.75,High,Kolkata Metro
122,Minakhan,North 24 Parganas,Usha Rani Mondal,AITC,109818,51.72,55830,Usha Rani Mondal,AITC,92079,42.66,32292,Retained,AITC → AITC,-9.06,-23538,25.82,92.5,4.75,High,Kolkata Metro
123,Sandeshkhali,North 24 Parganas,Sukumar Mahata,AITC,112450,54.64,39685,Sanat Sardar,BJP,107189,49.58,17510,Flipped,AITC → BJP,-5.06,-22175,25.82,92.5,4.75,High,Kolkata Metro
124,Basirhat Dakshin,North 24 Parganas,Dr. Saptarshi Banerjee,AITC,115873,49.15,24468,Surajit Mitra,AITC,112965,45.09,9544,Retained,AITC → AITC,-4.06,-14924,25.82,92.5,4.75,High,Kolkata Metro
125,Basirhat Uttar,North 24 Parganas,Rafikul Islam Mondal,AITC,137216,57.55,89351,Md. Tauseffur Rahman,AITC,115503,48.42,57270,Retained,AITC → AITC,-9.13,-32081,25.82,92.5,4.75,High,Kolkata Metro
126,Hingalganj,North 24 Parganas,Debes Mandal,AITC,104706,53.78,24916,Rekha Patra,BJP,100207,48.39,5421,Flipped,AITC → BJP,-5.39,-19495,25.82,92.5,4.75,High,Kolkata Metro
127,Gosaba,South 24 Parganas,Jayanta Naskar,AITC,105723,53.99,23709,Bikarna Naskar,BJP,108492,51.34,16100,Flipped,AITC → BJP,-2.65,-7609,35.57,92.8,4.0,High,Kolkata Metro
128,Basanti,South 24 Parganas,Shyamal Mondal,AITC,111453,52.1,50642,Nilima Mistry,AITC,127495,54.99,56181,Retained,AITC → AITC,2.89,5539,35.57,92.8,4.0,High,Kolkata Metro
129,Kultali,South 24 Parganas,Ganesh Chandra Mondal,AITC,117238,51.57,47177,Ganesh Chandra Mondal,AITC,146435,57.75,59276,Retained,AITC → AITC,6.18,12099,35.57,92.8,4.0,High,Kolkata Metro
130,Patharpratima,South 24 Parganas,Samir Kumar Jana,AITC,120181,51.85,22134,Samir Kumar Jana,AITC,117164,47.62,4873,Retained,AITC → AITC,-4.23,-17261,35.57,92.8,4.0,High,Kolkata Metro
131,Kakdwip,South 24 Parganas,Manturam Pakhira,AITC,114493,52.14,25302,Dipankar Jana,BJP,109373,47.29,4760,Flipped,AITC → BJP,-4.85,-20542,35.57,92.8,4.0,High,Kolkata Metro
132,Sagar,South 24 Parganas,Bankim Chandra Hazra,AITC,129000,53.96,29846,Sumanta Mandal,BJP,127802,49.52,7881,Flipped,AITC → BJP,-4.44,-21965,35.57,92.8,4.0,High,Kolkata Metro
133,Kulpi,South 24 Parganas,Jogaranjan Halder,AITC,96577,50.01,33818,Barnali Dhara,AITC,91266,43.94,10383,Retained,AITC → AITC,-6.07,-23435,35.57,92.8,4.0,High,Kolkata Metro
134,Raidighi,South 24 Parganas,Aloke Jaldata,AITC,115707,48.47,35568,Tapas Mondal,AITC,118991,46.16,5957,Retained,AITC → AITC,-2.31,-29611,35.57,92.8,4.0,High,Kolkata Metro
135,Mandirbazar,South 24 Parganas,Joydeb Halder,AITC,95834,48.04,23492,Joydeb Halder,AITC,93686,43.94,1995,Retained,AITC → AITC,-4.1,-21497,35.57,92.8,4.0,High,Kolkata Metro
136,Jaynagar,South 24 Parganas,Biswanath Das,AITC,104952,51.85,38683,Biswanath Das,AITC,108194,49.38,26350,Retained,AITC → AITC,-2.47,-12333,35.57,92.8,4.0,High,Kolkata Metro
137,Baruipur Purba,South 24 Parganas,Bivas Sardar (Vobo),AITC,123243,54.75,49641,Bivas Sardar,AITC,120987,50.98,31815,Retained,AITC → AITC,-3.77,-17826,35.57,92.8,4.0,High,Kolkata Metro
138,Canning Paschim,South 24 Parganas,Paresh Ram Das,AITC,111059,50.86,35243,Paresh Ram Das,AITC,120548,52.26,40665,Retained,AITC → AITC,1.4,5422,35.57,92.8,4.0,High,Kolkata Metro
139,Canning Purba,South 24 Parganas,Saokat Molla,AITC,122301,52.54,53007,Md Baharul Islam,AITC,148687,61.53,91954,Retained,AITC → AITC,8.99,38947,35.57,92.8,4.0,High,Kolkata Metro
140,Baruipur Paschim,South 24 Parganas,Biman Banerjee,AITC,121006,57.27,61910,Biman Banerjee,AITC,104781,47.41,17862,Retained,AITC → AITC,-9.86,-44048,35.57,92.8,4.0,High,Kolkata Metro
141,Magrahat Purba,South 24 Parganas,Namita Saha,AITC,110945,53.82,54079,Sarmistha Purkait,AITC,108412,48.8,31607,Retained,AITC → AITC,-5.02,-22472,35.57,92.8,4.0,High,Kolkata Metro
142,Magrahat Paschim,South 24 Parganas,Gias Uddin Molla,AITC,97006,49.93,46941,Shamim Ahmed Molla,AITC,113834,55.43,58503,Retained,AITC → AITC,5.5,11562,35.57,92.8,4.0,High,Kolkata Metro
143,Diamond Harbour,South 24 Parganas,Pannalal Halder,AITC,98478,43.69,16996,Pannalal Halder,AITC,119320,51.38,31266,Retained,AITC → AITC,7.69,14270,35.57,92.8,4.0,High,Kolkata Metro
144,Falta,South 24 Parganas,Sankar Kumar Naskar,AITC,117179,56.35,40774,Debangshu Panda,BJP,149666,71.2,109021,Flipped,AITC → BJP,14.85,68247,35.57,92.8,4.0,High,Kolkata Metro
145,Satgachhia,South 24 Parganas,Mohan Chandra Naskar,AITC,118635,50.37,23318,Agniswar Naskar,BJP,111023,46.38,401,Flipped,AITC → BJP,-3.99,-22917,35.57,92.8,4.0,High,Kolkata Metro
146,Bishnupur,South 24 Parganas,Dilip Mondal,AITC,136509,57.46,58832,Dilip Mondal,AITC,132647,52.93,36925,Retained,AITC → AITC,-4.53,-21907,35.57,92.8,4.0,High,Kolkata Metro
147,Sonarpur Dakshin,South 24 Parganas,Arundhuti Maitra (Lovely),AITC,109222,46.92,26181,Roopa Ganguly,BJP,128970,52.34,35782,Flipped,AITC → BJP,5.42,9601,35.57,92.8,4.0,High,Kolkata Metro
148,Bhangar,South 24 Parganas,Md. Nawsad Siddique,ISF,109237,45.1,26151,Naushad Siddiqui,ISF,126555,47.33,32088,Retained,ISF → ISF,2.23,5937,35.57,92.8,4.0,High,Kolkata Metro
149,Kasba,South 24 Parganas,Ahmed Javed Khan,AITC,121372,54.39,63622,Javed Ahmed Khan,AITC,117893,48.88,20974,Retained,AITC → AITC,-5.51,-42648,35.57,92.8,4.0,High,Kolkata Metro
150,Jadavpur,South 24 Parganas,Debabrata Majumdar (Malay),AITC,98100,45.54,38869,Sarbori Mukherjee,BJP,106199,45.96,27716,Flipped,AITC → BJP,0.42,-11153,35.57,92.8,4.0,High,Kolkata Metro
151,Sonarpur Uttar,South 24 Parganas,Firdousi Begum,AITC,119957,49.88,36090,Debasish Dhar,BJP,119824,46.73,9807,Flipped,AITC → BJP,-3.15,-26283,35.57,92.8,4.0,High,Kolkata Metro
152,Tollyganj,South 24 Parganas,Aroop Biswas,AITC,101440,51.4,50080,Papiya Adhikari,BJP,88407,42.99,6013,Flipped,AITC → BJP,-8.41,-44067,35.57,92.8,4.0,High,Kolkata Metro
153,Behala Purba,South 24 Parganas,Ratna Chatterjee,AITC,110968,50.01,37428,Sankar Sikder,BJP,115502,49.22,25137,Flipped,AITC → BJP,-0.79,-12291,35.57,92.8,4.0,High,Kolkata Metro
154,Behala Paschim,South 24 Parganas,Partha Chatterjee,AITC,114778,49.51,50884,Indranil Khan,BJP,113502,47.39,24699,Flipped,AITC → BJP,-2.12,-26185,35.57,92.8,4.0,High,Kolkata Metro
155,Maheshtala,South 24 Parganas,Dulal Chandra Das,AITC,124008,56.38,57949,Subhasis Das,AITC,116811,50.83,32913,Retained,AITC → AITC,-5.55,-25036,35.57,92.8,4.0,High,Kolkata Metro
156,Budge Budge,South 24 Parganas,Ashok Kumar Deb,AITC,122357,56.41,44714,Ashok Kumar Deb,AITC,127091,58.27,46850,Retained,AITC → AITC,1.86,2136,35.57,92.8,4.0,High,Kolkata Metro
157,Metiaburuz,South 24 Parganas,Abdul Khaleque Molla,AITC,151066,76.85,119604,Abdul Khaleque Molla,AITC,124230,68.99,87879,Retained,AITC → AITC,-7.86,-31725,35.57,92.8,4.0,High,Kolkata Metro
158,Kolkata Port,Kolkata,Firhad Hakim,AITC,105543,69.23,68554,Firhad Hakim,AITC,101266,65.43,56080,Retained,AITC → AITC,-3.8,-12474,20.6,91.0,5.75,High,Kolkata Metro
159,Bhabanipur,Kolkata,Sobhandeb Chattopadhyay,AITC,73505,57.71,28719,Suvendu Adhikari,BJP,73917,53.02,15105,Flipped,AITC → BJP,-4.69,-13614,20.6,91.0,5.75,High,Kolkata Metro
160,Rashbehari,Kolkata,Debasish Kumar,AITC,65704,52.79,21414,Swapan Dasgupta,BJP,74123,53.39,20865,Flipped,AITC → BJP,0.6,-549,20.6,91.0,5.75,High,Kolkata Metro
161,Ballygunge,Kolkata,Subrata Mukherjee,AITC,106585,70.6,75359,Sovandeb Chattopadhyay,AITC,108481,64.81,61476,Retained,AITC → AITC,-5.79,-13883,20.6,91.0,5.75,High,Kolkata Metro
162,Chowrangee,Kolkata,Bandyopadhyay Nayna,AITC,70101,62.87,45344,Nayna Bandyopadhyay,AITC,62938,57.15,22002,Retained,AITC → AITC,-5.72,-23342,20.6,91.0,5.75,High,Kolkata Metro
163,Entally,Kolkata,Swarna Kamal Saha,AITC,101709,64.83,58257,Sandipan Saha,AITC,94427,57.16,34006,Retained,AITC → AITC,-7.67,-24251,20.6,91.0,5.75,High,Kolkata Metro
164,Beleghata,Kolkata,Paresh Paul,AITC,103182,65.1,67140,Kunal Ghosh,AITC,93757,53.85,28576,Retained,AITC → AITC,-11.25,-38564,20.6,91.0,5.75,High,Kolkata Metro
165,Jorasanko,Kolkata,Vivek Gupta,AITC,52123,52.67,12743,Vijay Ojha,BJP,52668,49.48,5797,Flipped,AITC → BJP,-3.19,-6946,20.6,91.0,5.75,High,Kolkata Metro
166,Shyampukur,Kolkata,Dr. Shashi Panja,AITC,55785,54.18,22520,Purnima Chakraborty,BJP,60248,51.6,14633,Flipped,AITC → BJP,-2.58,-7887,20.6,91.0,5.75,High,Kolkata Metro
167,Maniktala,Kolkata,Sadhan Pande,AITC,67577,50.82,20238,Tapas Roy,BJP,76370,50.67,15644,Flipped,AITC → BJP,-0.15,-4594,20.6,91.0,5.75,High,Kolkata Metro
168,Kashipur-Belgachhia,Kolkata,Atin Ghosh,AITC,76182,56.48,35390,Ritesh Tiwari,BJP,68368,45.41,1651,Flipped,AITC → BJP,-11.07,-33739,20.6,91.0,5.75,High,Kolkata Metro
169,Bally,Howrah,Rana Chatterjee,AITC,53347,42.38,6237,Sanjay Kumar Singh,BJP,57639,48.91,11997,Flipped,AITC → BJP,6.53,5760,26.2,91.5,5.0,Medium,Kolkata Metro
170,Howrah Uttar,Howrah,Gautam Chowdhuri,AITC,71575,47.81,5522,Umesh Rai,BJP,67539,50.76,11250,Flipped,AITC → BJP,2.95,5728,26.2,91.5,5.0,Medium,Kolkata Metro
171,Howrah Madhya,Howrah,"Arup Roy, S/O Late Prabhat Roy",AITC,111554,57.16,46547,Arup Roy,AITC,95948,49.6,16083,Retained,AITC → AITC,-7.56,-30464,26.2,91.5,5.0,Medium,Kolkata Metro
172,Shibpur,Howrah,Manoj Tiwary,AITC,92372,50.69,32603,Rudranil Ghosh,BJP,89615,49.42,16058,Flipped,AITC → BJP,-1.27,-16545,26.2,91.5,5.0,Medium,Kolkata Metro
173,Howrah Dakshin,Howrah,Nandita Chowdhury,AITC,116839,53.86,50569,Nandita Chowdhury,AITC,100540,45.28,7828,Retained,AITC → AITC,-8.58,-42741,26.2,91.5,5.0,Medium,Kolkata Metro
174,Sankrail,Howrah,Priya Paul,AITC,111888,50.37,40427,Priya Paul,AITC,105412,45.99,16740,Retained,AITC → AITC,-4.38,-23687,26.2,91.5,5.0,Medium,Kolkata Metro
175,Panchla,Howrah,Gulsan Mullick,AITC,104572,48.19,32751,Gulsan Mullick,AITC,123967,52.72,38320,Retained,AITC → AITC,4.53,5569,26.2,91.5,5.0,Medium,Kolkata Metro
176,Uluberia Purba,Howrah,Bidesh Ranjan Bose,AITC,86526,44.83,17126,Ritabrata Banerjee,AITC,95633,45.97,11838,Retained,AITC → AITC,1.14,-5288,26.2,91.5,5.0,Medium,Kolkata Metro
177,Uluberia Uttar,Howrah,Dr. Nirmal Maji,AITC,91501,49.25,21003,Chiran Bera,BJP,93320,45.87,4177,Flipped,AITC → BJP,-3.38,-16826,26.2,91.5,5.0,Medium,Kolkata Metro
178,Uluberia Dakshin,Howrah,Pulak Roy,AITC,101880,50.37,28438,Pulak Roy,AITC,109649,48.46,17187,Retained,AITC → AITC,-1.91,-11251,26.2,91.5,5.0,Medium,Kolkata Metro
179,Shyampur,Howrah,Kalipada Mandal,AITC,114804,51.74,31511,Hiran Chatterjee,BJP,125651,51.36,22260,Flipped,AITC → BJP,-0.38,-9251,26.2,91.5,5.0,Medium,Kolkata Metro
180,Bagnan,Howrah,Arunava Sen (Raja),AITC,106042,53.04,30120,Arunava Sen,AITC,105060,48.1,11316,Retained,AITC → AITC,-4.94,-18804,26.2,91.5,5.0,Medium,Kolkata Metro
181,Amta,Howrah,Sukanta Kumar Paul,AITC,102445,49.06,26205,Amit Samanta,BJP,104649,44.16,4454,Flipped,AITC → BJP,-4.9,-21751,26.2,91.5,5.0,Medium,Kolkata Metro
182,Udaynarayanpur,Howrah,Samir Kumar Panja,AITC,101510,51.21,13998,Samir Kumar Panja,AITC,105802,49.53,12227,Retained,AITC → AITC,-1.68,-1771,26.2,91.5,5.0,Medium,Kolkata Metro
183,Jagatballavpur,Howrah,Sitanath Ghosh,AITC,116562,49.45,29196,Anupam Ghosh,BJP,115608,45.78,6671,Flipped,AITC → BJP,-3.67,-22525,26.2,91.5,5.0,Medium,Kolkata Metro
184,Domjur,Howrah,Kalyan Ghosh,AITC,130499,52.0,42620,Tapas Maity,AITC,134036,52.73,42177,Retained,AITC → AITC,0.73,-443,26.2,91.5,5.0,Medium,Kolkata Metro
185,Uttarpara,Hooghly,Kanchan Mullick,AITC,93878,46.96,35989,Dipanjan Chakraborty,BJP,80612,39.24,10415,Flipped,AITC → BJP,-7.72,-25574,15.77,92.0,4.25,Medium,South Bengal
186,Sreerampur,Hooghly,Dr. Sudipto Roy,AITC,93021,49.46,23433,Bhaskar Bhattacharya,BJP,85644,45.97,8685,Flipped,AITC → BJP,-3.49,-14748,15.77,92.0,4.25,Medium,South Bengal
187,Champdani,Hooghly,Arindam Guin (Bubai),AITC,100972,50.2,30078,Dilip Singh,BJP,93704,45.84,3026,Flipped,AITC → BJP,-4.36,-27052,15.77,92.0,4.25,Medium,South Bengal
188,Singur,Hooghly,Becharam Manna,AITC,101077,48.15,25923,Arup Kumar Das,BJP,113008,50.77,21438,Flipped,AITC → BJP,2.62,-4485,15.77,92.0,4.25,Medium,South Bengal
189,Chandannagar,Hooghly,Indranil Sen,AITC,86778,47.63,31029,Deepanjan Kumar Guha,BJP,86273,46.16,13441,Flipped,AITC → BJP,-1.47,-17588,15.77,92.0,4.25,Medium,South Bengal
190,Chunchura,Hooghly,Asit Mazumder (Tapan),AITC,117104,45.97,18417,Subir Nag,BJP,137704,53.96,43435,Flipped,AITC → BJP,7.99,25018,15.77,92.0,4.25,Medium,South Bengal
191,Balagarh,Hooghly,Manoranjan Bapari,AITC,100364,45.63,5784,Sumana Sarkar,BJP,125624,55.58,41914,Flipped,AITC → BJP,9.95,36130,15.77,92.0,4.25,Medium,South Bengal
192,Pandua,Hooghly,Dr. Ratna De Nag,AITC,102874,45.99,31858,Tusar Kumar Majumdar,BJP,101349,43.36,5228,Flipped,AITC → BJP,-2.63,-26630,15.77,92.0,4.25,Medium,South Bengal
193,Saptagram,Hooghly,Tapan Dasgupta,AITC,93328,48.56,9772,Swaraj Ghosh,BJP,102414,52.1,23289,Flipped,AITC → BJP,3.54,13517,15.77,92.0,4.25,Medium,South Bengal
194,Chanditala,Hooghly,Swati Khandoker,AITC,103118,49.79,41347,Swati Khandoker,AITC,107143,47.1,19663,Retained,AITC → AITC,-2.69,-21684,15.77,92.0,4.25,Medium,South Bengal
195,Jangipara,Hooghly,Snehasis Chakraborty,AITC,101885,48.42,17926,Prosenjit Bag,BJP,102409,44.09,862,Flipped,AITC → BJP,-4.33,-17064,15.77,92.0,4.25,Medium,South Bengal
196,Haripal,Hooghly,Dr. Karabi Manna,AITC,110215,49.92,23072,Madhumita Ghosh,BJP,113332,46.07,3488,Flipped,AITC → BJP,-3.85,-19584,15.77,92.0,4.25,Medium,South Bengal
197,Dhanekhali,Hooghly,Asima Patra,AITC,124776,53.36,30159,Asima Patra,AITC,123462,49.85,13057,Retained,AITC → AITC,-3.51,-17102,15.77,92.0,4.25,Medium,South Bengal
198,Tarakeswar,Hooghly,Ramendu Sinharay,AITC,96698,46.96,7484,Santu Pan,BJP,116901,52.76,30999,Flipped,AITC → BJP,5.8,23515,15.77,92.0,4.25,Medium,South Bengal
199,Pursurah,Hooghly,Biman Ghosh,BJP,119334,53.5,28178,Biman Ghosh,BJP,138821,57.62,53453,Retained,BJP → BJP,4.12,25275,15.77,92.0,4.25,Medium,South Bengal
200,Arambag,Hooghly,Madhusudan Bag,BJP,103108,46.88,7172,Hemanta Bag,BJP,123000,52.15,28959,Retained,BJP → BJP,5.27,21787,15.77,92.0,4.25,Medium,South Bengal
201,Goghat,Hooghly,Biswanath Karak,BJP,102227,46.56,4147,Prasanta Digar,BJP,134498,57.39,49582,Retained,BJP → BJP,10.83,45435,15.77,92.0,4.25,Medium,South Bengal
202,Khanakul,Hooghly,Susanta Ghosh,BJP,107403,49.27,12884,Susanta Ghosh,BJP,126729,53.44,34483,Retained,BJP → BJP,4.17,21599,15.77,92.0,4.25,Medium,South Bengal
203,Tamluk,Purba Medinipur,Saumen Kumar Mahapatra,AITC,108243,45.86,793,Hare Krishna Bera,BJP,136566,53.15,34729,Flipped,AITC → BJP,7.29,33936,14.59,92.75,3.85,Medium,South Bengal
204,Panskura Purba,Purba Medinipur,Biplab Roy Chowdhury,AITC,91213,45.97,9660,Subrata Maity,BJP,109264,49.5,17903,Flipped,AITC → BJP,3.53,8243,14.59,92.75,3.85,Medium,South Bengal
205,Panskura Paschim,Purba Medinipur,Phiroja Bibi,AITC,111705,47.71,8889,Sintu Senapati,BJP,137919,53.37,32567,Flipped,AITC → BJP,5.66,23678,14.59,92.75,3.85,Medium,South Bengal
206,Moyna,Purba Medinipur,Ashoke Dinda,BJP,108109,48.17,1260,Ashok Dinda,BJP,127166,51.62,16241,Retained,BJP → BJP,3.45,14981,14.59,92.75,3.85,Medium,South Bengal
207,Nandakumar,Purba Medinipur,Sukumar De,AITC,108181,47.6,5406,Nirmal Khanra,BJP,131476,52.73,30603,Flipped,AITC → BJP,5.13,25197,14.59,92.75,3.85,Medium,South Bengal
208,Mahisadal,Purba Medinipur,Tilak Kumar Chakraborty,AITC,101986,46.49,2386,Subhas Chandra Panja,BJP,121584,51.05,26238,Flipped,AITC → BJP,4.56,23852,14.59,92.75,3.85,Medium,South Bengal
209,Haldia,Purba Medinipur,Tapasi Mondal,BJP,104126,47.15,15008,Pradip Kumar Bijali,BJP,132183,55.2,49062,Retained,BJP → BJP,8.05,34054,14.59,92.75,3.85,Medium,South Bengal
210,Nandigram,Purba Medinipur,Adhikari Suvendu,BJP,110764,48.49,1956,Suvendu Adhikari,BJP,127301,50.37,9665,Retained,BJP → BJP,1.88,7709,14.59,92.75,3.85,Medium,South Bengal
211,Chandipur,Purba Medinipur,Soham Chakraborty,AITC,109770,49.82,13472,Pijush Kanti Das,BJP,126047,52.09,20270,Flipped,AITC → BJP,2.27,6798,14.59,92.75,3.85,Medium,South Bengal
212,Patashpur,Purba Medinipur,Uttam Barik,AITC,105299,50.42,9994,Tapan Maity,BJP,116589,50.24,9051,Flipped,AITC → BJP,-0.18,-943,14.59,92.75,3.85,Medium,South Bengal
213,Kanthi Uttar,Purba Medinipur,Sumita Sinha,BJP,113524,49.7,9330,Sumita Sinha,BJP,130088,52.16,20055,Retained,BJP → BJP,2.46,10725,14.59,92.75,3.85,Medium,South Bengal
214,Bhagabanpur,Purba Medinipur,Rabindranath Maity,BJP,121480,54.56,27549,Santanu Pramanik,BJP,130586,52.73,20878,Retained,BJP → BJP,-1.83,-6671,14.59,92.75,3.85,Medium,South Bengal
215,Khejuri,Purba Medinipur,Santanu Pramanik,BJP,110407,51.93,17965,Subrata Paik,BJP,129875,54.96,32690,Retained,BJP → BJP,3.03,14725,14.59,92.75,3.85,Medium,South Bengal
216,Kanthi Dakshin,Purba Medinipur,Arup Kumar Das,BJP,98477,50.58,10293,Arup Kumar Das,BJP,118219,55.54,31472,Retained,BJP → BJP,4.96,21179,14.59,92.75,3.85,Medium,South Bengal
217,Ramnagar,Purba Medinipur,Akhil Giri,AITC,112622,50.72,12517,Chandra Sekhar Mondal,BJP,131808,53.83,26939,Flipped,AITC → BJP,3.11,14422,14.59,92.75,3.85,Medium,South Bengal
218,Egra,Purba Medinipur,Tarun Kumar Maity,AITC,125763,52.22,18491,Dibyendu Adhikari,BJP,142670,52.96,25692,Flipped,AITC → BJP,0.74,7201,14.59,92.75,3.85,Medium,South Bengal
219,Dantan,Paschim Medinipur,Bikram Chandra Pradhan,AITC,95209,48.13,623,Ajit Kumar Jana,BJP,110259,50.49,10376,Flipped,AITC → BJP,2.36,9753,12.27,92.19,3.65,Medium,Junglemahal
220,Nayagram,Jhargram,Dulal Murmu,AITC,100903,52.46,22754,Amiya Kisku,BJP,100857,48.56,6424,Flipped,AITC → BJP,-3.9,-16330,2.51,92.26,3.45,Low,Junglemahal
221,Gopiballavpur,Jhargram,Dr. Khagendra Nath Mahata,AITC,104115,52.3,23768,Rajesh Mahata,BJP,114683,53.75,26675,Flipped,AITC → BJP,1.45,2907,2.51,92.26,3.45,Low,Junglemahal
222,Jhargram,Jhargram,Birbaha Hansda,AITC,109493,54.26,38240,Lakshmi Kanta Sau,BJP,120877,54.71,38147,Flipped,AITC → BJP,0.45,-93,2.51,92.26,3.45,Low,Junglemahal
223,Keshiary,Paschim Medinipur,Paresh Murmu,AITC,106366,50.01,15330,Bhadra Hemram,BJP,113713,50.8,15887,Flipped,AITC → BJP,0.79,557,12.27,92.19,3.65,Medium,Junglemahal
224,Kharagpur Sadar,Paschim Medinipur,Hiranmoy Chattopadhyaya,BJP,79607,46.45,3771,Dilip Ghosh,BJP,89885,55.6,30506,Retained,BJP → BJP,9.15,26735,12.27,92.19,3.65,Medium,Junglemahal
225,Narayangarh,Paschim Medinipur,Atta Surja Kanta,AITC,100894,46.33,2416,Giri Ramaprasad,BJP,116050,51.25,20367,Flipped,AITC → BJP,4.92,17951,12.27,92.19,3.65,Medium,Junglemahal
226,Sabang,Paschim Medinipur,Manas Ranjan Bhunia,AITC,112098,47.46,9864,Amal Kumar Panda,BJP,127783,49.66,11136,Flipped,AITC → BJP,2.2,1272,12.27,92.19,3.65,Medium,Junglemahal
227,Pingla,Paschim Medinipur,Ajit Maity,AITC,112435,49.17,6656,Swagata Manna,BJP,124189,51.16,18480,Flipped,AITC → BJP,1.99,11824,12.27,92.19,3.65,Medium,Junglemahal
228,Kharagpur,Paschim Medinipur,Dinen Roy,AITC,109727,54.85,36230,Dinen Roy,AITC,98320,47.14,2872,Retained,AITC → AITC,-7.71,-33358,12.27,92.19,3.65,Medium,Junglemahal
229,Debra,Paschim Medinipur,Humayun Kabir,AITC,95850,46.79,11226,Subhasis Om,BJP,114463,52.67,28801,Flipped,AITC → BJP,5.88,17575,12.27,92.19,3.65,Medium,Junglemahal
230,Daspur,Paschim Medinipur,Mamata Bhunia,AITC,114753,51.58,26842,Tapan Kumar Dutta,BJP,133071,52.8,32134,Flipped,AITC → BJP,1.22,5292,12.27,92.19,3.65,Medium,Junglemahal
231,Ghatal,Paschim Medinipur,Sital Kapat,BJP,105812,46.95,966,Shital Kapat,BJP,131550,54.35,37657,Retained,BJP → BJP,7.4,36691,12.27,92.19,3.65,Medium,Junglemahal
232,Chandrakona,Paschim Medinipur,Arup Dhara,AITC,121846,48.87,11281,Sukanta Dolui,BJP,140517,53.09,33481,Flipped,AITC → BJP,4.22,22200,12.27,92.19,3.65,Medium,Junglemahal
233,Garbeta,Paschim Medinipur,Uttara Singha (Hazra),AITC,94928,45.71,10572,Pradeep Lodha,BJP,113752,51.23,26225,Flipped,AITC → BJP,5.52,15653,12.27,92.19,3.65,Medium,Junglemahal
234,Salboni,Paschim Medinipur,Srikanta Mahata,AITC,126020,50.57,32644,Biman Mahato,BJP,132856,49.86,15243,Flipped,AITC → BJP,-0.71,-17401,12.27,92.19,3.65,Medium,Junglemahal
235,Keshpur,Paschim Medinipur,Seuli Saha,AITC,116992,50.81,20720,Seuli Saha,AITC,143123,56.36,50105,Retained,AITC → AITC,5.55,29385,12.27,92.19,3.65,Medium,Junglemahal
236,Medinipur,Paschim Medinipur,June Maliah,AITC,121175,50.72,24397,Shankar Guchhait,BJP,133041,54.51,38747,Flipped,AITC → BJP,3.79,14350,12.27,92.19,3.65,Medium,Junglemahal
237,Binpur,Jhargram,Debnath Hansda,AITC,100277,53.11,39494,Pranat Tudu,BJP,107238,51.54,22977,Flipped,AITC → BJP,-1.57,-16517,2.51,92.26,3.45,Low,Junglemahal
238,Bandwan,Purulia,Rajib Lochan Saren,AITC,113337,47.02,18831,Labsen Baskey,BJP,134080,50.37,29577,Flipped,AITC → BJP,3.35,10746,7.76,91.59,3.75,Low,Junglemahal
239,Balarampur,Purulia,Baneswar Mahato,BJP,89521,45.22,423,Jaladhar Mahato,BJP,118421,53.84,35051,Retained,BJP → BJP,8.62,34628,7.76,91.59,3.75,Low,Junglemahal
240,Baghmundi,Purulia,Sushanta Mahato,AITC,75905,36.79,13969,Rahidas Mahato,BJP,112663,48.95,40817,Flipped,AITC → BJP,12.16,26848,7.76,91.59,3.75,Low,Junglemahal
241,Joypur,Purulia,Nara Hari Mahato,BJP,74380,36.68,12200,Biswajit Mahato,BJP,104668,44.88,22218,Retained,BJP → BJP,8.2,10018,7.76,91.59,3.75,Low,Junglemahal
242,Purulia,Purulia,Sudip Kumar Mukherjee,BJP,89733,43.38,7018,Sudip Kumar Mukherjee,BJP,128454,55.69,49253,Retained,BJP → BJP,12.31,42235,7.76,91.59,3.75,Low,Junglemahal
243,Manbazar,Purulia,Sandhyarani Tudu,AITC,103298,48.33,15516,Mayna Murmu,BJP,120487,50.95,27283,Flipped,AITC → BJP,2.62,11767,7.76,91.59,3.75,Low,Junglemahal
244,Kashipur,Purulia,Kamalakanta Hansda,BJP,92938,47.69,7387,Kamalakanta Hansda,BJP,106571,50.28,21276,Retained,BJP → BJP,2.59,13889,7.76,91.59,3.75,Low,Junglemahal
245,Para,Purulia,Nadiar Chand Bouri,BJP,87347,45.02,4007,Nadiar Chand Bouri,BJP,113488,52.55,33721,Retained,BJP → BJP,7.53,29714,7.76,91.59,3.75,Low,Junglemahal
