Constituency_No,Constituency_Name,District,Winner_Candidate_2021,Winner_Party_2021,Winner_Votes_2021,Winner_Pct_2021,Margin_2021,Winner_Candidate_2026,Winner_Party_2026,Winner_Votes_2026,Winner_Pct_2026,Margin_2026,Seat_Status,Party_Change,Vote_Swing,Margin_Change,Minority_Pct,Women_Voter_Pct,Unemployment_Pct,SIR_Risk,Region
29,Islampur,Uttar Dinajpur,Abdul Karim Chowdhary,AITC,100131,58.91,37440,Kanaia Lal Agarwal,AITC,108117,58.14,40063,Retained,AITC → AITC,-0.77,2623,49.92,94.16,3.65,High,North Bengal
30,Goalpokhar,Uttar Dinajpur,Md. Ghulam Rabbani,AITC,105649,65.4,73514,Md. Ghulam Rabbani,AITC,122105,66.66,83790,Retained,AITC → AITC,1.26,10276,49.92,94.16,3.65,High,North Bengal
31,Chakulia,Uttar Dinajpur,Azad Minhajul Arfin,AITC,86311,49.78,33837,Minhajul Arfin Azad,AITC,90277,45.34,28011,Retained,AITC → AITC,-4.44,-5826,49.92,94.16,3.65,High,North Bengal
32,Karandighi,Uttar Dinajpur,Goutam Paul,AITC,116594,54.7,36626,Biraj Biswas,BJP,96260,43.76,19869,Flipped,AITC → BJP,-10.94,-16757,49.92,94.16,3.65,High,North Bengal
33,Hemtabad,Uttar Dinajpur,Satyajit Barman,AITC,116425,52.14,27215,Haripada Barman,BJP,115529,48.26,12361,Flipped,AITC → BJP,-3.88,-14854,49.92,94.16,3.65,High,North Bengal
34,Kaliaganj,Uttar Dinajpur,Soumen Roy,BJP,116768,48.71,21820,Utpal Brahmacharo,BJP,158349,61.32,76425,Retained,BJP → BJP,12.61,54605,49.92,94.16,3.65,High,North Bengal
35,Raiganj,Uttar Dinajpur,Krishna Kalyani,BJP,79775,49.44,20748,Koushik Chowdhury,BJP,105561,63.69,58641,Retained,BJP → BJP,14.25,37893,49.92,94.16,3.65,High,North Bengal
36,Itahar,Uttar Dinajpur,Mosaraf Hussen,AITC,114645,59.1,43975,Mosaraf Hussen,AITC,98172,48.09,27878,Retained,AITC → AITC,-11.01,-16097,49.92,94.16,3.65,High,North Bengal
37,Kushmandi,Dakshin Dinajpur,Rekha Roy,AITC,89968,48.88,12584,Tapas Chandra Roy,BJP,97437,48.83,9063,Flipped,AITC → BJP,-0.05,-3521,24.63,95.44,3.55,Medium,North Bengal
38,Kumarganj,Dakshin Dinajpur,Toraf Hossain Mandal,AITC,89763,52.52,29367,Toraf Hossain Mandal,AITC,82791,47.62,6685,Retained,AITC → AITC,-4.9,-22682,24.63,95.44,3.55,Medium,North Bengal
39,Balurghat,Dakshin Dinajpur,Ashok Kumar Lahiri,BJP,72129,47.42,13436,Bidyut Kumar Roy,BJP,95697,60.45,47576,Retained,BJP → BJP,13.03,34140,24.63,95.44,3.55,Medium,North Bengal
40,Tapan,Dakshin Dinajpur,Budhrai Tudu,BJP,84381,45.29,1650,Budhrai Tudu,BJP,105780,56.66,36987,Retained,BJP → BJP,11.37,35337,24.63,95.44,3.55,Medium,North Bengal
41,Gangarampur,Dakshin Dinajpur,Satyendra Nath Ray,BJP,88724,46.82,4592,Satyendra Nath Roy,BJP,105083,54.5,28339,Retained,BJP → BJP,7.68,23747,24.63,95.44,3.55,Medium,North Bengal
42,Harirampur,Dakshin Dinajpur,Biplab Mitra,AITC,96131,51.23,22672,Biplab Mitra,AITC,93098,45.62,1986,Retained,AITC → AITC,-5.61,-20686,24.63,95.44,3.55,Medium,North Bengal
43,Habibpur,Malda,Joyel Murmu,BJP,94075,47.52,19517,Joyel Murmu,BJP,142062,62.41,78188,Retained,BJP → BJP,14.89,58671,51.27,94.79,3.85,High,North Bengal
44,Gazole,Malda,Chinmoy Deb Barman,BJP,100655,45.5,1798,Chinmoy Deb Barman,BJP,131541,53.94,38192,Retained,BJP → BJP,8.44,36394,51.27,94.79,3.85,High,North Bengal
45,Chanchal,Malda,Nihar Ranjan Ghosh,AITC,115966,58.08,67338,Prasun Banerjee,AITC,128014,54.61,63874,Retained,AITC → AITC,-3.47,-3464,51.27,94.79,3.85,High,North Bengal
46,Harischandrapur,Malda,Tajmul Hossain,AITC,122527,60.31,77473,Md. Matibur Rahaman,AITC,113104,49.8,48271,Retained,AITC → AITC,-10.51,-29202,51.27,94.79,3.85,High,North Bengal
47,Malatipur,Malda,Abdur Rahim Boxi,AITC,126157,68.02,91949,Abdur Rahim Boxi,AITC,104123,51.54,59747,Retained,AITC → AITC,-16.48,-32202,51.27,94.79,3.85,High,North Bengal
48,Ratua,Malda,Samar Mukherjee,AITC,130674,59.63,75650,Samar Mukherjee,AITC,106834,45.82,32562,Retained,AITC → AITC,-13.81,-43088,51.27,94.79,3.85,High,North Bengal
49,Manikchak,Malda,Sabitri Mitra,AITC,110234,53.26,33878,Gour Chandra Mandal,BJP,110118,48.86,38192,Flipped,AITC → BJP,-4.4,4314,51.27,94.79,3.85,High,North Bengal
50,Maldaha,Malda,Gopal Chandra Saha,BJP,93398,45.23,15456,Gopal Chandra Saha,BJP,123656,56.0,50128,Retained,BJP → BJP,10.77,34672,51.27,94.79,3.85,High,North Bengal
51,English Bazar,Malda,Sreerupa Mitra Chaudhury,BJP,107755,49.96,20099,Amlan Bhaduri,BJP,154096,65.7,93784,Retained,BJP → BJP,15.74,73685,51.27,94.79,3.85,High,North Bengal
52,Mothabari,Malda,Yeasmin Sabina,AITC,97397,59.7,56573,Md. Najrul Islam,AITC,65705,40.51,10496,Retained,AITC → AITC,-19.19,-46077,51.27,94.79,3.85,High,North Bengal
53,Sujapur,Malda,Md Abdul Ghani,AITC,152445,73.44,130163,Sabina Yeasmin,AITC,112795,49.66,60287,Retained,AITC → AITC,-23.78,-69876,51.27,94.79,3.85,High,North Bengal
54,Baisnabnagar,Malda,Chandana Sarkar,AITC,83061,39.81,2471,Raju Karmakar,BJP,108692,48.34,46881,Flipped,AITC → BJP,8.53,44410,51.27,94.79,3.85,High,North Bengal
