Constituency_No,Constituency_Name,District,Winner_Candidate_2021,Winner_Party_2021,Winner_Votes_2021,Winner_Pct_2021,Margin_2021,Winner_Candidate_2026,Winner_Party_2026,Winner_Votes_2026,Winner_Pct_2026,Margin_2026
204,Panskura Purba,Purba Medinipur,Biplab Roy Chowdhury,AITC,91213,45.97,9660,Subrata Maity,BJP,109264,49.5,17903
205,Panskura Paschim,Purba Medinipur,Phiroja Bibi,AITC,111705,47.71,8889,Sintu Senapati,BJP,137919,53.37,32567
206,Moyna,Purba Medinipur,Ashoke Dinda,BJP,108109,48.17,1260,Ashok Dinda,BJP,127166,51.62,16241
207,Nandakumar,Purba Medinipur,Sukumar De,AITC,108181,47.6,5406,Nirmal Khanra,BJP,131476,52.73,30603
208,Mahisadal,Purba Medinipur,Tilak Kumar Chakraborty,AITC,101986,46.49,2386,Subhas Chandra Panja,BJP,121584,51.05,26238
209,Haldia,Purba Medinipur,Tapasi Mondal,BJP,104126,47.15,15008,Pradip Kumar Bijali,BJP,132183,55.2,49062
210,Nandigram,Purba Medinipur,Adhikari Suvendu,BJP,110764,48.49,1956,Suvendu Adhikari,BJP,127301,50.37,9665
211,Chandipur,Purba Medinipur,Soham Chakraborty,AITC,109770,49.82,13472,Pijush Kanti Das,BJP,126047,52.09,20270
212,Patashpur,Purba Medinipur,Uttam Barik,AITC,105299,50.42,9994,Tapan Maity,BJP,116589,50.24,9051
213,Kanthi Uttar,Purba Medinipur,Sumita Sinha,BJP,113524,49.7,9330,Sumita Sinha,BJP,130088,52.16,20055
214,Bhagabanpur,Purba Medinipur,Rabindranath Maity,BJP,121480,54.56,27549,Santanu Pramanik,BJP,130586,52.73,20878
215,Khejuri,Purba Medinipur,Santanu Pramanik,BJP,110407,51.93,17965,Subrata Paik,BJP,129875,54.96,32690
216,Kanthi Dakshin,Purba Medinipur,Arup Kumar Das,BJP,98477,50.58,10293,Arup Kumar Das,BJP,118219,55.54,31472
217,Ramnagar,Purba Medinipur,Akhil Giri,AITC,112622,50.72,12517,Chandra Sekhar Mondal,BJP,131808,53.83,26939
218,Egra,Purba Medinipur,Tarun Kumar Maity,AITC,125763,52.22,18491,Dibyendu Adhikari,BJP,142670,52.96,25692
219,Dantan,Paschim Medinipur,Bikram Chandra Pradhan,AITC,95209,48.13,623,Ajit Kumar Jana,BJP,110259,50.49,10376
220,Nayagram,Jhargram,Dulal Murmu,AITC,100903,52.46,22754,Amiya Kisku,BJP,100857,48.56,6424
221,Gopiballavpur,Jhargram,Dr. Khagendra Nath Mahata,AITC,104115,52.3,23768,Rajesh Mahata,BJP,114683,53.75,26675
222,Jhargram,Jhargram,Birbaha Hansda,AITC,109493,54.26,38240,Lakshmi Kanta Sau,BJP,120877,54.71,38147
223,Keshiary,Paschim Medinipur,Paresh Murmu,AITC,106366,50.01,15330,Bhadra Hemram,BJP,113713,50.8,15887
224,Kharagpur Sadar,Paschim Medinipur,Hiranmoy Chattopadhyaya,BJP,79607,46.45,3771,Dilip Ghosh,BJP,89885,55.6,30506
225,Narayangarh,Paschim Medinipur,Atta Surja Kanta,AITC,100894,46.33,2416,Giri Ramaprasad,BJP,116050,51.25,20367
226,Sabang,Paschim Medinipur,Manas Ranjan Bhunia,AITC,112098,47.46,9864,Amal Kumar Panda,BJP,127783,49.66,11136
227,Pingla,Paschim Medinipur,Ajit Maity,AITC,112435,49.17,6656,Swagata Manna,BJP,124189,51.16,18480
228,Kharagpur,Paschim Medinipur,Dinen Roy,AITC,109727,54.85,36230,Dinen Roy,AITC,98320,47.14,2872
229,Debra,Paschim Medinipur,Humayun Kabir,AITC,95850,46.79,11226,Subhasis Om,BJP,114463,52.67,28801
230,Daspur,Paschim Medinipur,Mamata Bhunia,AITC,114753,51.58,26842,Tapan Kumar Dutta,BJP,133071,52.8,32134
231,Ghatal,Paschim Medinipur,Sital Kapat,BJP,105812,46.95,966,Shital Kapat,BJP,131550,54.35,37657
232,Chandrakona,Paschim Medinipur,Arup Dhara,AITC,121846,48.87,11281,Sukanta Dolui,BJP,140517,53.09,33481
233,Garbeta,Paschim Medinipur,Uttara Singha (Hazra),AITC,94928,45.71,10572,Pradeep Lodha,BJP,113752,51.23,26225
234,Salboni,Paschim Medinipur,Srikanta Mahata,AITC,126020,50.57,32644,Biman Mahato,BJP,132856,49.86,15243
235,Keshpur,Paschim Medinipur,Seuli Saha,AITC,116992,50.81,20720,Seuli Saha,AITC,143123,56.36,50105
236,Medinipur,Paschim Medinipur,June Maliah,AITC,121175,50.72,24397,Shankar Guchhait,BJP,133041,54.51,38747
237,Binpur,Jhargram,Debnath Hansda,AITC,100277,53.11,39494,Pranat Tudu,BJP,107238,51.54,22977
238,Bandwan,Purulia,Rajib Lochan Saren,AITC,113337,47.02,18831,Labsen Baskey,BJP,134080,50.37,29577
239,Balarampur,Purulia,Baneswar Mahato,BJP,89521,45.22,423,Jaladhar Mahato,BJP,118421,53.84,35051
240,Baghmundi,Purulia,Sushanta Mahato,AITC,75905,36.79,13969,Rahidas Mahato,BJP,112663,48.95,40817
241,Joypur,Purulia,Nara Hari Mahato,BJP,74380,36.68,12200,Biswajit Mahato,BJP,104668,44.88,22218
242,Purulia,Purulia,Sudip Kumar Mukherjee,BJP,89733,43.38,7018,Sudip Kumar Mukherjee,BJP,128454,55.69,49253
243,Manbazar,Purulia,Sandhyarani Tudu,AITC,103298,48.33,15516,Mayna Murmu,BJP,120487,50.95,27283
244,Kashipur,Purulia,Kamalakanta Hansda,BJP,92938,47.69,7387,Kamalakanta Hansda,BJP,106571,50.28,21276
245,Para,Purulia,Nadiar Chand Bouri,BJP,87347,45.02,4007,Nadiar Chand Bouri,BJP,113488,52.55,33721
246,Raghunathpur,Purulia,Vivekananda Bauri,BJP,95770,44.61,5438,Mamoni Bauri,BJP,127628,54.44,44059
247,Saltora,Bankura,Bauri Chandana,BJP,91648,45.28,4145,Chandana Bauri,BJP,115180,52.72,32135
248,Chhatna,Bankura,Satyanarayan Mukhopadhyay,BJP,90233,45.84,7164,Satyanarayan Mukhopadhyay,BJP,125972,56.76,47174
249,Ranibandh,Bankura,Jyotsna Mandi,AITC,90928,43.06,3939,Kshudiram Tudu,BJP,131145,55.38,52269
250,Raipur,Bankura,Mrityunjoy Murmu,AITC,101043,51.96,19398,Kshetra Mohan Hansda,BJP,111443,53.01,28742
251,Taldangra,Bankura,Arup Chakraborty,AITC,92026,45.29,12377,Souvik Patra,BJP,124537,56.62,50073
252,Bankura,Bankura,Niladri Sekhar Dana,BJP,95466,43.79,1468,Niladri Sekhar Dana,BJP,136992,57.24,54177
253,Barjora,Bankura,Alok Mukherjee,AITC,93290,42.51,3269,Billeswar Sinha,BJP,125419,53.29,41310
254,Onda,Bankura,Amarnath Shakha,BJP,104940,46.48,11551,Amarnath Shakha,BJP,128296,52.09,31723
255,Bishnupur,Bankura,Tanmay Ghosh (Bumba),BJP,89689,46.84,11420,Shukla Chatterjee,BJP,111082,53.54,30605
256,Katulpur,Bankura,Harakali Protiher,BJP,106022,47.31,11785,Lakshmi Kanta Majumdar,BJP,126241,52.55,34367
257,Indus,Bankura,Nirmal Kumar Dhara,BJP,104936,48.04,7220,Nirmal Kumar Dhara,BJP,108733,46.79,900
258,Sonamukhi,Bankura,Dibakar Gharami,BJP,98161,47.25,10888,Dibakar Gharami,BJP,115549,52.08,29410
259,Khandaghosh,Purba Bardhaman,Nabin Chandra Bag,AITC,104264,47.85,20886,Nabin Chandra Bag,AITC,104183,46.67,6528
260,Bardhaman Dakshin,Purba Bardhaman,Khokan Das,AITC,91015,44.32,8105,Moumita Biswas Misra,BJP,107754,52.61,30470
261,Raina,Purba Bardhaman,Shampa Dhara,AITC,108752,47.46,18205,Subhash Patra,BJP,103487,44.37,834
262,Jamalpur,Purba Bardhaman,Alok Kumar Majhi,AITC,96999,46.93,17971,Arun Halder,BJP,99936,46.53,11178
263,Monteswar,Purba Bardhaman,Chowdhury Siddiqullah,AITC,105460,50.45,31805,Saikat Panja,BJP,96559,47.29,14798
264,Kalna,Purba Bardhaman,Deboprasad Bag (Poltu),AITC,96073,45.98,7478,Siddhartha Majumdar,BJP,110790,51.96,28630
265,Memari,Purba Bardhaman,Madhusudan Bhattacharya,AITC,104851,47.92,23078,Manab Guha,BJP,106428,46.78,7106
266,Bardhaman Uttar,Purba Bardhaman,Nisith Kumar Malik,AITC,111211,45.97,17268,Nisith Kumar Malik,AITC,112688,45.45,6460
267,Bhatar,Purba Bardhaman,Adhikari Mangobinda,AITC,108028,50.44,31741,Soumen Karfa,BJP,98820,46.03,6528
268,Purbasthali Dakshin,Purba Bardhaman,Swapan Debnath,AITC,105698,49.08,17410,Pran Krishna Tapadar,BJP,111004,50.44,16662
269,Purbasthali Uttar,Purba Bardhaman,Tapan Chatterjee,AITC,92421,43.52,6706,Gopal Chattopadhyay,BJP,111379,49.53,30226
270,Katwa,Purba Bardhaman,Rabindranath Chatterjee,AITC,107894,48.07,9155,Krishna Ghosh,BJP,122020,50.94,35066
271,Ketugram,Purba Bardhaman,Sekh Sahonawez,AITC,100226,46.55,12683,Anadi Ghosh,BJP,111104,50.69,27610
272,Mangalkot,Purba Bardhaman,Apurba Chowdhury (Achal),AITC,107596,49.51,22337,Shishir Ghosh,BJP,104020,47.44,12723
273,Ausgram,Purba Bardhaman,Abhedananda Thander,AITC,100392,46.25,11815,Kalita Maji,BJP,107692,47.68,12535
274,Galsi,Purba Bardhaman,Nepal Ghorui,AITC,109504,49.21,19262,Raju Patra,BJP,110640,47.62,10494
275,Pandabeswar,Paschim Bardhaman,Narendranath Chakraborty,AITC,73922,44.99,3803,Jitendra Tiwari,BJP,80501,46.08,1398
276,Durgapur Purba,Paschim Bardhaman,Pradip Mazumdar,AITC,79303,41.16,3746,Chandra Sekhar Banerjee,BJP,108888,50.69,30934
277,Durgapur Paschim,Paschim Bardhaman,Lakshman Chandra Ghorui,BJP,91186,46.31,14664,Lakshman Chandra Ghorui,BJP,114729,52.93,37598
278,Raniganj,Paschim Bardhaman,Tapas Banerjee,AITC,78164,42.9,3556,Partha Ghosh,BJP,97416,49.58,17786
279,Jamuria,Paschim Bardhaman,Hareram Singh,AITC,71002,42.59,8051,Bijan Mukherjee,BJP,90150,49.64,22514
280,Asansol Dakshin,Paschim Bardhaman,Agnimitra Paul,BJP,87881,45.13,4487,Agnimitra Paul,BJP,119582,55.42,40839
281,Asansol Uttar,Paschim Bardhaman,Ghatak Moloy,AITC,100931,52.32,21110,Krishnendu Mukherjee,BJP,104516,49.63,11615
282,Kulti,Paschim Bardhaman,Ajay Kumar Poddar,BJP,81112,46.41,679,Ajay Kumar Poddar,BJP,103570,54.44,26498
283,Barabani,Paschim Bardhaman,Bidhan Upadhyay,AITC,88430,52.26,23457,Arijit Roy,BJP,91777,49.54,11722
284,Dubrajpur,Birbhum,Anup Kumar Saha,BJP,98083,47.94,3863,Anup Kumar Saha,BJP,117437,53.33,27647
285,Suri,Birbhum,Bikash Roychoudhury,AITC,105871,48.43,7320,Jagannath Chattopadhyay,BJP,124243,52.09,28686
286,Bolpur,Birbhum,Sinha Chandranath,AITC,116443,50.57,22280,Chandranath Sinha,AITC,114915,46.65,13188
287,Nanoor,Birbhum,Bidhan Chandra Majhi,AITC,112116,47.64,6670,Bidhan Chandra Majhi,AITC,119910,47.37,8122
288,Labpur,Birbhum,Abhijit Sinha (Rana),AITC,108423,51.14,17975,Debasis Ojha,BJP,106402,47.71,3550
289,Sainthia,Birbhum,Nilabati Saha,AITC,110572,49.84,15243,Krishna Kanta Saha,BJP,115054,47.71,10306
290,Mayureswar,Birbhum,Abhijit Roy,AITC,100425,50.36,12075,Dudh Kumar Mondal,BJP,107056,50.15,21002
291,Rampurhat,Birbhum,Asish Banerjee,AITC,103276,47.52,8472,Dhruba Saha,BJP,111920,47.89,24233
292,Hansan,Birbhum,Dr. Asok Kumar Chattopadhyay,AITC,108289,51.42,50613,Fayezul Haque,AITC,103223,45.56,28298
293,Nalhati,Birbhum,Rajendra Prasad Singh (Raju Singh),AITC,117438,56.54,56905,Rajendra Prasad Singh,AITC,87744,39.43,13446
294,Murarai,Birbhum,Dr. Mosarraf Hossain,AITC,146496,67.23,98246,Mosarraf Hossain,AITC,96902,39.89,37705
